rainfall_rate,cumulative_rainfall_24h,soil_moisture,slope_angle,vibration_frequency,pore_water_pressure,temperature,risk_score,risk_class,risk_label
0.94,4.03,41.48,25.38,0.25,10.15,26.9,1.5,0,Safe
11.67,109.55,59.27,39.79,0.8,32.27,25.02,28.5,0,Safe
71.12,156.5,80.99,44.83,1.53,43.88,15.09,68.2,2,Warning
4.07,2.89,22.11,25.63,0.21,11.16,25.79,1.9,0,Safe
0.93,2.64,35.53,35.72,0.28,14.32,28.32,1.2,0,Safe
1.35,19.57,33.12,29.06,0.28,2.28,21.87,4.2,0,Safe
1.12,23.96,38.97,28.92,0.29,9.32,19.79,6.1,0,Safe
0.13,16.67,29.03,35.09,0.34,8.14,15.86,2.0,0,Safe
85.33,362.55,92.94,36.16,2.83,84.15,21.32,89.0,3,Critical
128.38,305.64,87.25,56.21,4.6,66.61,11.94,100.0,3,Critical
46.13,54.44,45.21,33.16,1.03,30.48,19.9,28.5,0,Safe
12.01,81.45,72.07,35.71,0.63,27.5,17.13,21.4,0,Safe
85.94,349.09,90.43,46.13,2.36,90.92,10.78,100.0,3,Critical
103.46,355.3,91.05,42.22,2.65,59.31,16.18,85.8,3,Critical
20.18,47.5,66.84,28.68,0.95,33.69,17.75,19.2,0,Safe
34.25,135.84,83.54,33.8,1.84,39.6,13.03,38.1,1,Watch
116.73,365.87,98.2,43.38,3.09,57.54,14.81,96.1,3,Critical
41.34,82.65,47.17,24.64,1.11,34.37,17.71,21.5,0,Safe
1.04,23.62,30.63,41.68,0.39,13.04,18.03,5.5,0,Safe
18.66,116.05,71.32,41.16,0.81,23.93,20.15,29.8,0,Safe
3.27,20.97,29.29,19.58,0.44,13.75,22.24,8.1,0,Safe
13.24,96.18,68.23,32.74,0.93,21.45,20.52,16.2,0,Safe
3.76,6.17,23.26,26.33,0.51,6.26,20.77,3.7,0,Safe
11.9,74.35,63.93,28.1,0.61,15.19,19.81,11.1,0,Safe
49.53,125.45,65.14,34.91,1.06,51.74,15.66,48.1,1,Watch
0.98,2.56,39.65,32.09,0.47,11.71,27.94,1.0,0,Safe
3.58,23.53,38.58,35.64,0.47,7.03,25.73,5.4,0,Safe
0.46,16.09,23.75,27.09,0.2,9.43,23.09,0.3,0,Safe
36.14,105.61,62.09,23.67,0.94,32.81,16.92,18.0,0,Safe
0.88,24.46,40.6,34.43,0.42,8.73,28.03,0.9,0,Safe
73.81,360.96,97.12,38.09,4.7,56.64,8.87,82.0,3,Critical
41.78,137.82,82.13,31.63,1.21,29.66,16.18,35.2,1,Watch
2.46,3.77,32.92,23.57,0.14,13.2,28.83,0.0,0,Safe
127.06,341.64,87.2,52.66,4.01,84.51,14.02,100.0,3,Critical
1.37,20.79,47.24,28.12,0.3,7.89,21.6,0.0,0,Safe
86.13,140.1,79.92,30.35,0.81,43.46,19.22,44.4,1,Watch
1.57,0.46,25.62,34.56,0.22,12.14,24.49,0.0,0,Safe
11.98,73.93,38.32,30.06,0.98,38.84,15.42,26.5,0,Safe
3.17,20.45,37.36,10.32,0.43,5.19,18.66,0.0,0,Safe
32.13,40.87,56.86,31.4,0.34,45.81,17.6,30.7,1,Watch
19.61,95.38,69.76,33.26,0.48,26.66,21.0,23.9,0,Safe
74.25,276.01,90.42,37.29,4.65,61.93,13.87,81.4,3,Critical
24.09,98.81,59.84,33.68,1.15,17.33,21.3,26.1,0,Safe
29.53,108.69,49.22,27.1,0.58,37.17,15.29,26.2,0,Safe
0.89,4.43,38.85,41.45,0.29,8.96,26.46,0.0,0,Safe
2.16,1.06,35.35,23.33,0.16,14.89,21.44,0.0,0,Safe
24.96,110.03,76.93,37.43,1.32,46.37,22.92,39.3,1,Watch
11.45,65.31,59.62,24.08,0.9,9.32,15.77,10.9,0,Safe
1.23,14.98,26.06,26.66,0.19,9.28,24.51,1.5,0,Safe
15.83,106.07,73.54,30.6,0.36,20.98,18.95,15.4,0,Safe
3.64,8.32,41.43,29.33,0.55,15.44,33.44,0.0,0,Safe
1.28,21.75,35.53,22.31,0.44,14.56,27.34,2.1,0,Safe
2.73,22.35,34.0,29.32,0.3,11.76,29.75,6.0,0,Safe
1.42,21.79,36.24,22.18,0.13,14.52,23.7,0.0,0,Safe
26.69,33.34,69.65,19.19,0.55,24.54,17.39,8.0,0,Safe
30.7,163.48,78.76,46.5,1.7,38.86,16.61,56.9,1,Watch
1.79,14.77,35.02,37.6,0.22,9.43,20.53,4.6,0,Safe
25.74,75.47,68.82,37.52,0.99,13.31,16.23,20.8,0,Safe
3.33,1.82,42.38,22.77,0.39,10.98,13.67,0.0,0,Safe
61.91,199.79,81.26,36.58,0.86,41.72,12.83,48.9,1,Watch
2.57,17.58,36.54,31.53,0.29,7.89,31.89,3.7,0,Safe
73.55,193.88,72.81,41.73,2.0,68.0,9.34,86.7,3,Critical
0.68,4.98,29.69,18.18,0.45,8.83,24.06,2.8,0,Safe
1.01,20.7,26.33,37.0,0.33,8.26,27.95,1.3,0,Safe
0.02,10.09,33.82,19.18,0.31,6.81,31.04,0.0,0,Safe
12.07,85.61,63.79,32.04,0.33,30.68,15.66,19.3,0,Safe
2.83,11.36,33.1,13.85,0.14,7.56,23.33,0.0,0,Safe
0.42,10.35,51.25,20.45,0.48,8.87,20.54,2.1,0,Safe
43.77,114.92,75.74,46.61,0.61,19.29,20.07,34.5,1,Watch
5.53,9.66,36.58,31.56,0.37,7.56,18.81,0.9,0,Safe
38.98,210.63,92.38,39.34,1.35,37.76,15.95,48.2,1,Watch
24.43,113.66,44.71,35.92,0.76,24.38,21.58,15.6,0,Safe
2.44,13.73,35.58,23.87,0.25,11.7,23.16,0.0,0,Safe
0.02,14.43,18.83,26.57,0.59,4.42,24.41,2.0,0,Safe
27.97,64.4,56.2,35.86,1.1,35.27,18.46,28.2,0,Safe
0.86,2.7,33.44,23.66,0.15,9.69,20.75,1.7,0,Safe
9.16,42.09,62.46,30.79,0.95,30.5,20.27,13.7,0,Safe
50.05,53.02,65.81,21.84,0.76,25.94,12.85,18.0,0,Safe
6.14,19.16,39.63,23.29,0.17,8.28,23.37,1.8,0,Safe
3.42,1.1,35.43,12.48,0.22,5.7,28.6,0.0,0,Safe
5.54,8.06,35.91,38.02,0.11,10.71,19.69,3.4,0,Safe
0.49,22.96,37.51,20.04,0.34,7.24,25.63,0.0,0,Safe
51.91,170.59,72.73,34.78,1.56,40.11,13.24,46.5,1,Watch
18.27,78.6,63.71,37.86,0.37,31.92,18.31,24.1,0,Safe
11.56,49.8,55.55,32.07,0.68,18.51,18.79,10.9,0,Safe
2.58,15.5,36.46,25.58,0.13,9.44,24.39,1.0,0,Safe
11.8,58.93,79.91,31.41,1.09,33.76,15.96,23.9,0,Safe
14.91,74.38,65.32,40.23,0.64,27.81,13.12,25.7,0,Safe
1.46,4.23,37.33,44.22,0.53,14.52,23.88,5.5,0,Safe
117.24,373.28,95.04,39.44,4.49,90.91,18.46,96.7,3,Critical
1.94,11.9,29.29,24.62,0.25,7.5,21.86,0.0,0,Safe
14.67,89.61,70.84,39.21,1.19,39.22,21.12,33.2,1,Watch
38.54,103.15,48.98,31.41,0.51,26.95,15.29,21.8,0,Safe
92.64,187.29,78.84,37.95,1.06,47.62,18.26,62.7,2,Warning
15.05,116.85,62.0,38.76,0.36,38.35,17.99,30.8,1,Watch
77.04,201.48,85.38,47.87,3.91,83.5,10.44,100.0,3,Critical
37.43,109.3,56.99,28.72,0.35,33.62,17.72,24.9,0,Safe
40.2,159.79,70.07,42.55,1.91,57.32,19.35,65.0,2,Warning
5.28,12.1,25.29,26.95,0.52,4.2,19.97,5.0,0,Safe
26.09,55.82,61.21,25.1,0.57,19.32,18.61,13.1,0,Safe
59.67,200.57,80.41,33.45,1.65,54.19,17.35,59.1,1,Watch
7.05,11.28,29.67,29.14,0.23,8.06,28.8,1.3,0,Safe
3.03,9.13,48.95,32.81,0.13,8.91,18.94,3.3,0,Safe
87.55,347.83,94.6,46.02,4.2,55.55,12.36,100.0,3,Critical
15.51,85.45,75.66,26.41,0.76,34.26,16.79,22.9,0,Safe
11.96,24.62,30.72,17.98,0.46,17.05,25.45,0.8,0,Safe
2.41,5.67,35.18,22.96,0.3,8.92,27.49,3.5,0,Safe
110.05,269.67,88.08,49.83,3.52,68.38,14.23,100.0,3,Critical
19.53,64.27,57.62,33.89,0.57,28.9,21.82,15.4,0,Safe
7.49,8.81,26.41,13.94,0.24,6.25,20.48,7.2,0,Safe
8.67,19.15,22.78,29.38,0.33,10.36,19.59,6.4,0,Safe
19.05,77.12,58.09,27.41,0.36,29.64,23.38,16.3,0,Safe
33.92,73.23,38.53,39.95,0.8,18.64,17.68,22.9,0,Safe
0.31,14.77,33.06,24.11,0.13,8.21,19.14,0.0,0,Safe
36.22,195.83,78.59,29.31,1.64,45.32,16.52,52.5,1,Watch
28.84,85.63,69.92,27.52,1.14,31.59,17.38,21.8,0,Safe
0.27,24.92,38.13,26.55,0.33,1.58,19.72,3.5,0,Safe
26.18,111.43,52.09,35.28,0.48,30.17,20.41,25.2,0,Safe
3.5,15.76,22.89,17.17,0.6,4.68,26.26,1.2,0,Safe
6.97,19.31,40.12,23.38,0.48,4.81,23.46,0.7,0,Safe
4.78,21.28,8.36,20.69,0.17,7.28,28.39,9.5,0,Safe
23.5,109.85,66.9,25.68,0.64,19.64,14.84,17.8,0,Safe
31.85,98.88,62.38,36.5,0.61,33.95,19.64,24.5,0,Safe
1.08,7.18,30.34,26.48,0.42,4.31,22.72,0.4,0,Safe
6.77,74.26,65.45,38.26,0.74,23.09,18.7,19.3,0,Safe
1.21,24.89,35.62,30.42,0.27,10.63,21.06,0.0,0,Safe
40.2,116.27,69.38,26.69,0.91,26.74,18.57,24.7,0,Safe
58.62,139.06,69.87,33.0,1.42,44.48,17.25,43.6,1,Watch
13.72,96.24,61.01,33.44,0.38,29.14,17.28,22.1,0,Safe
1.37,14.73,40.94,20.5,0.44,12.72,20.52,0.0,0,Safe
26.81,51.35,62.23,34.09,0.75,35.09,17.37,25.1,0,Safe
3.29,14.14,54.08,23.41,0.14,11.57,25.4,6.2,0,Safe
2.12,14.96,34.72,32.65,0.37,7.08,22.01,0.0,0,Safe
22.97,77.14,46.26,37.13,0.93,33.01,20.1,28.5,0,Safe
21.55,42.64,55.39,37.94,0.72,21.95,18.56,15.8,0,Safe
75.22,225.84,97.17,54.79,3.24,61.37,17.42,100.0,3,Critical
0.66,13.19,36.58,35.67,0.54,10.37,19.88,0.0,0,Safe
1.17,9.55,31.76,31.88,0.58,10.39,24.15,0.1,0,Safe
54.43,333.35,92.92,52.86,4.7,70.32,16.01,100.0,3,Critical
0.5,5.36,38.12,28.39,0.13,10.52,27.47,2.0,0,Safe
1.5,21.87,38.0,26.48,0.15,10.08,25.94,1.2,0,Safe
15.73,100.4,71.15,40.03,0.7,14.41,19.85,22.4,0,Safe
27.57,90.75,80.35,34.26,0.64,14.74,17.82,16.8,0,Safe
27.42,84.0,54.61,35.8,0.44,33.69,15.29,23.5,0,Safe
6.7,101.45,53.18,21.06,0.78,25.82,15.18,14.2,0,Safe
0.22,7.79,36.15,29.02,0.55,8.17,28.71,0.0,0,Safe
17.99,64.22,52.44,24.41,0.83,37.63,16.2,21.5,0,Safe
20.62,38.98,58.78,38.86,0.43,19.62,18.85,12.8,0,Safe
19.72,40.86,54.03,38.45,0.64,20.58,23.56,13.7,0,Safe
3.3,2.59,47.21,32.94,0.37,11.41,25.9,0.5,0,Safe
2.45,23.74,32.04,29.09,0.14,15.83,25.44,8.0,0,Safe
3.98,44.05,45.61,26.8,0.52,33.4,16.84,12.6,0,Safe
14.71,98.81,83.19,36.46,0.63,21.47,20.07,23.3,0,Safe
3.37,3.41,55.37,22.99,0.49,16.41,22.11,4.8,0,Safe
37.18,175.25,77.15,33.76,0.94,58.36,10.45,51.9,1,Watch
36.38,139.65,71.49,35.36,0.96,46.93,17.72,43.2,1,Watch
0.17,14.0,43.55,29.59,0.22,8.48,23.12,0.0,0,Safe
54.84,166.15,80.14,35.13,1.99,49.6,13.39,53.8,1,Watch
52.73,194.33,78.37,43.48,1.46,27.69,19.44,52.8,1,Watch
1.94,16.8,30.51,40.61,0.12,8.47,28.7,0.0,0,Safe
123.93,197.27,87.02,37.75,3.65,67.69,14.0,86.5,3,Critical
20.08,175.06,87.74,42.29,1.1,56.68,15.62,61.0,2,Warning
69.13,206.34,90.41,40.12,1.93,53.44,18.71,69.4,2,Warning
0.0,22.23,29.48,23.56,0.56,11.49,27.05,3.9,0,Safe
0.27,18.71,39.08,39.58,0.24,12.26,37.34,3.7,0,Safe
53.46,120.68,81.36,32.06,1.47,47.09,16.84,48.0,1,Watch
11.09,74.78,66.67,30.09,0.88,21.45,16.28,14.7,0,Safe
0.61,13.88,35.12,24.54,0.23,7.55,17.74,2.1,0,Safe
39.35,115.8,53.58,26.57,0.61,26.55,19.55,22.3,0,Safe
37.0,113.08,76.53,34.17,1.57,30.01,12.69,36.8,1,Watch
26.94,101.3,56.8,39.95,0.44,26.44,19.16,21.3,0,Safe
42.71,207.08,84.89,26.72,1.61,46.15,20.19,45.6,1,Watch
5.07,8.74,26.94,18.59,0.29,13.32,21.5,5.7,0,Safe
24.17,64.85,60.6,37.72,0.47,13.98,19.16,13.1,0,Safe
23.14,107.65,63.58,40.17,0.56,35.34,20.34,30.6,1,Watch
4.66,18.53,39.18,41.47,0.47,12.09,25.46,4.5,0,Safe
54.18,376.2,86.48,50.45,3.82,62.14,11.22,98.4,3,Critical
39.5,93.33,57.5,33.38,0.61,42.81,19.72,33.9,1,Watch
0.16,11.48,26.22,23.27,0.53,10.55,27.07,1.4,0,Safe
61.22,364.42,97.13,44.35,3.5,83.35,12.22,100.0,3,Critical
9.6,130.37,79.88,36.12,1.86,46.87,15.93,43.7,1,Watch
2.25,11.7,35.0,36.18,0.28,4.44,18.74,0.6,0,Safe
14.44,108.59,67.45,32.85,1.06,25.62,18.53,24.4,0,Safe
30.49,44.54,56.61,38.75,0.72,29.02,19.71,22.1,0,Safe
11.99,55.69,71.48,36.32,0.93,25.06,21.85,18.4,0,Safe
70.33,55.12,66.11,24.88,0.52,16.56,21.56,17.7,0,Safe
29.49,34.16,62.36,27.03,0.38,9.4,18.38,7.0,0,Safe
1.72,13.41,22.88,27.95,0.2,9.63,24.89,1.8,0,Safe
0.13,23.63,33.77,12.34,0.18,7.17,19.82,1.0,0,Safe
51.51,68.96,45.73,28.72,1.02,40.23,15.53,32.0,1,Watch
1.04,10.66,24.37,26.79,0.55,7.53,25.89,1.0,0,Safe
100.33,191.72,97.39,53.68,2.13,55.46,12.95,97.4,3,Critical
37.45,202.26,74.65,35.17,1.31,37.13,13.52,45.4,1,Watch
0.13,23.77,29.74,41.5,0.5,12.91,27.07,0.0,0,Safe
92.79,377.13,89.57,46.81,2.51,74.74,14.73,99.1,3,Critical
38.44,166.08,74.59,30.03,1.54,33.95,19.7,40.7,1,Watch
30.72,51.31,70.87,27.33,0.75,33.55,20.03,20.9,0,Safe
35.04,117.58,77.27,34.5,1.9,47.72,21.49,41.2,1,Watch
7.12,6.18,36.28,30.24,0.45,6.67,16.58,1.4,0,Safe
25.09,84.48,57.3,36.28,0.41,30.51,20.48,23.0,0,Safe
0.94,12.3,40.98,29.22,0.49,8.42,20.83,0.0,0,Safe
38.56,195.15,74.05,35.96,0.85,51.41,19.5,44.9,1,Watch
6.55,16.68,36.77,27.59,0.27,5.13,17.35,9.0,0,Safe
7.92,20.53,34.72,25.74,0.35,6.65,23.01,0.3,0,Safe
1.32,7.14,34.77,27.74,0.51,2.19,24.71,0.0,0,Safe
1.52,7.16,31.15,22.64,0.48,6.8,25.68,0.0,0,Safe
2.13,15.37,44.7,18.42,0.15,10.71,24.12,0.0,0,Safe
1.77,11.92,21.1,33.08,0.57,14.78,25.56,7.0,0,Safe
5.4,4.32,50.09,24.35,0.48,13.44,18.49,5.2,0,Safe
45.08,188.8,86.32,41.16,1.23,50.76,19.61,61.3,2,Warning
118.64,307.17,87.34,53.67,4.0,67.37,10.86,100.0,3,Critical
26.59,88.35,54.11,29.4,0.61,30.13,23.71,18.6,0,Safe
19.58,215.21,85.17,42.75,1.37,30.27,18.35,50.5,1,Watch
25.85,120.59,88.37,41.29,1.56,31.97,20.03,33.9,1,Watch
0.39,21.85,52.76,16.12,0.34,4.84,27.41,0.0,0,Safe
7.43,5.84,45.36,26.05,0.44,3.83,19.52,1.6,0,Safe
10.36,7.08,30.7,24.56,0.14,13.04,23.09,2.5,0,Safe
49.38,140.78,78.12,49.21,1.32,41.72,13.21,60.2,2,Warning
1.89,2.11,33.6,36.85,0.52,11.72,27.2,0.7,0,Safe
129.96,135.2,78.39,38.58,1.12,50.58,21.09,62.6,2,Warning
4.04,13.56,17.7,23.33,0.48,12.4,26.07,0.0,0,Safe
3.63,7.86,54.49,26.54,0.13,19.42,25.96,3.4,0,Safe
2.16,13.54,32.26,34.92,0.31,4.43,25.02,0.0,0,Safe
0.44,19.2,40.7,34.47,0.34,9.22,26.75,0.0,0,Safe
41.3,78.89,67.46,30.12,0.4,35.48,15.2,27.0,0,Safe
0.28,12.19,33.72,28.29,0.24,6.65,17.71,4.6,0,Safe
8.47,112.11,64.97,27.97,0.55,27.4,20.33,19.3,0,Safe
13.48,105.63,58.4,27.08,1.01,38.2,20.37,22.8,0,Safe
38.6,132.05,79.81,43.74,1.43,31.53,17.53,41.9,1,Watch
0.53,21.93,35.81,11.59,0.48,2.14,26.12,2.9,0,Safe
0.75,21.29,35.7,21.29,0.1,17.04,21.51,2.2,0,Safe
39.59,219.26,86.93,34.09,1.44,45.96,18.37,50.0,1,Watch
37.63,65.72,55.89,20.9,0.58,23.78,19.03,12.1,0,Safe
106.42,346.2,89.6,54.99,3.2,53.13,21.47,100.0,3,Critical
21.02,64.76,70.05,31.66,0.67,24.08,15.52,19.4,0,Safe
5.16,7.53,24.56,30.45,0.12,5.01,24.61,4.8,0,Safe
97.34,361.52,88.03,46.84,2.81,80.3,12.68,100.0,3,Critical
0.19,10.14,39.88,15.95,0.29,10.81,25.36,0.0,0,Safe
14.77,76.81,63.16,36.01,0.73,23.8,22.43,14.7,0,Safe
25.86,137.37,77.62,34.8,0.82,55.07,14.02,43.7,1,Watch
7.02,20.52,35.72,36.14,0.39,7.56,22.53,0.0,0,Safe
0.44,9.41,46.13,10.62,0.59,7.43,18.2,0.0,0,Safe
4.06,18.4,25.2,31.52,0.48,13.82,25.89,3.7,0,Safe
1.42,18.77,15.18,41.58,0.41,11.16,26.45,7.0,0,Safe
2.53,0.33,36.45,23.86,0.14,10.51,21.83,0.0,0,Safe
1.53,17.2,35.38,31.63,0.52,7.26,26.32,4.0,0,Safe
9.04,15.95,30.55,28.51,0.53,16.14,28.11,2.4,0,Safe
1.71,19.28,31.62,31.34,0.37,16.73,15.97,4.8,0,Safe
1.96,24.4,32.78,29.18,0.17,12.86,22.05,0.2,0,Safe
0.35,2.25,20.59,23.53,0.22,11.27,24.18,0.0,0,Safe
4.54,12.8,25.92,28.04,0.57,9.75,27.64,0.0,0,Safe
0.47,23.04,44.27,28.47,0.57,12.58,21.33,0.0,0,Safe
15.93,91.96,47.5,25.98,0.55,19.8,17.88,13.5,0,Safe
0.95,3.51,39.05,31.97,0.47,5.15,24.29,5.3,0,Safe
58.51,58.74,60.58,28.26,1.0,35.15,24.78,31.9,1,Watch
94.13,259.09,85.75,44.56,4.26,83.78,14.03,100.0,3,Critical
0.41,0.24,36.66,18.85,0.44,12.98,27.17,2.5,0,Safe
34.96,101.47,52.28,38.21,1.16,24.76,21.08,28.5,0,Safe
52.3,78.84,69.44,38.11,1.1,14.49,20.86,25.3,0,Safe
2.2,4.39,33.8,34.39,0.42,7.07,20.12,3.3,0,Safe
9.33,20.71,26.01,29.06,0.24,11.94,25.44,0.0,0,Safe
42.02,96.19,76.72,37.32,0.44,38.84,16.97,30.4,1,Watch
23.76,103.88,44.63,39.99,1.08,32.97,20.83,25.7,0,Safe
3.45,19.8,39.84,33.08,0.56,12.35,22.8,4.6,0,Safe
23.9,85.94,75.3,33.71,0.78,23.27,21.2,22.4,0,Safe
1.41,19.96,45.85,28.43,0.35,12.49,31.25,5.0,0,Safe
98.22,199.88,75.77,46.45,1.91,24.42,15.86,64.8,2,Warning
21.71,32.88,68.9,32.55,0.75,32.76,20.72,26.9,0,Safe
2.71,9.96,47.64,26.97,0.46,6.99,18.32,0.9,0,Safe
0.05,20.89,43.72,21.48,0.47,9.57,29.16,3.5,0,Safe
9.25,114.75,52.06,34.15,1.01,22.47,19.6,18.6,0,Safe
64.71,276.13,98.02,53.18,2.84,88.76,11.49,100.0,3,Critical
21.06,101.19,58.97,32.79,0.77,29.15,17.22,22.8,0,Safe
4.89,12.45,28.37,35.7,0.25,7.27,25.83,2.5,0,Safe
114.72,322.03,93.27,49.18,3.96,79.54,17.77,100.0,3,Critical
10.69,110.51,70.43,27.46,0.78,30.05,18.8,19.5,0,Safe
7.53,15.16,39.71,34.49,0.26,7.16,19.12,0.0,0,Safe
91.25,138.3,85.01,41.61,1.09,54.02,15.84,63.8,2,Warning
0.49,24.14,35.38,35.73,0.11,10.11,11.28,2.3,0,Safe
0.45,19.97,35.04,26.24,0.41,4.62,20.19,0.0,0,Safe
35.95,101.16,49.5,24.79,1.04,16.36,16.55,18.4,0,Safe
5.62,7.03,21.62,19.57,0.42,18.63,24.46,3.9,0,Safe
79.12,109.33,75.82,37.39,1.19,38.15,18.84,46.7,1,Watch
115.11,216.46,97.22,53.33,4.05,91.53,18.56,100.0,3,Critical
1.27,23.31,39.04,21.02,0.29,0.2,26.61,1.1,0,Safe
24.79,75.04,58.11,33.61,1.01,37.48,18.56,29.1,0,Safe
52.15,60.3,82.73,39.05,0.45,29.98,19.77,39.9,1,Watch
38.39,212.75,75.08,31.23,1.16,40.71,13.4,43.9,1,Watch
0.36,22.79,31.8,27.76,0.22,20.53,28.57,0.0,0,Safe
4.54,79.35,63.27,38.03,0.42,25.56,20.8,15.1,0,Safe
0.54,8.32,45.54,40.74,0.4,14.15,20.92,2.2,0,Safe
58.6,219.98,70.05,47.38,1.53,56.04,7.6,81.9,3,Critical
4.98,10.17,36.8,34.64,0.29,14.7,16.63,2.0,0,Safe
12.57,112.02,66.66,43.67,0.33,35.13,16.82,31.3,1,Watch
116.53,334.54,91.96,49.7,4.57,53.95,14.38,96.7,3,Critical
60.11,176.7,79.51,43.26,1.9,47.83,14.69,65.9,2,Warning
4.02,19.1,49.25,13.86,0.19,10.75,25.62,4.7,0,Safe
7.78,0.56,37.31,25.45,0.49,9.73,23.17,0.7,0,Safe
89.24,206.11,72.37,38.52,1.72,34.71,15.47,59.6,1,Watch
1.74,20.71,41.3,39.37,0.48,9.6,19.96,3.3,0,Safe
12.83,104.02,71.83,39.4,0.7,33.77,11.2,29.4,0,Safe
26.54,65.76,62.79,28.05,0.7,40.01,19.28,16.1,0,Safe
54.8,287.05,96.81,50.92,4.47,73.03,13.88,100.0,3,Critical
106.02,375.3,87.32,56.54,3.46,52.49,16.35,100.0,3,Critical
2.45,11.76,16.31,32.06,0.23,13.64,16.03,5.7,0,Safe
36.86,114.8,72.77,31.03,0.84,29.55,16.87,29.3,0,Safe
30.46,112.74,66.23,26.96,0.75,18.85,21.02,15.7,0,Safe
4.01,16.93,26.46,32.17,0.29,10.34,21.12,0.0,0,Safe
2.3,23.06,39.5,34.08,0.36,16.45,25.52,4.4,0,Safe
3.41,7.13,27.28,36.93,0.29,6.9,21.66,1.0,0,Safe
3.2,4.28,35.59,26.7,0.42,12.84,29.27,1.8,0,Safe
14.43,116.66,66.94,41.18,0.6,21.71,15.62,19.3,0,Safe
0.93,6.5,42.88,29.52,0.55,10.74,23.93,0.0,0,Safe
39.58,45.56,59.42,30.16,1.19,17.27,21.99,20.3,0,Safe
36.24,53.42,63.47,34.01,0.94,27.05,17.87,25.3,0,Safe
34.66,82.85,75.8,34.93,1.18,34.39,20.22,28.4,0,Safe
4.3,13.44,30.31,33.02,0.56,8.92,19.5,6.6,0,Safe
18.4,46.43,85.49,40.55,0.75,28.48,21.33,25.9,0,Safe
42.66,40.79,56.18,32.96,0.61,33.53,18.38,21.9,0,Safe
0.16,14.15,35.59,25.3,0.12,12.0,23.15,5.8,0,Safe
65.15,312.86,97.75,55.63,2.57,65.1,14.02,100.0,3,Critical
0.26,7.23,37.26,32.6,0.54,7.26,23.75,6.6,0,Safe
17.56,61.59,70.65,25.6,1.18,19.56,15.57,9.4,0,Safe
2.82,3.3,30.8,33.75,0.52,11.67,21.99,0.0,0,Safe
48.67,147.02,76.82,34.77,0.82,60.37,16.25,52.3,1,Watch
30.48,36.18,35.76,25.72,1.06,27.53,17.93,16.6,0,Safe
0.73,18.5,31.48,33.84,0.33,5.72,25.37,0.6,0,Safe
52.3,366.1,97.68,42.05,2.9,54.8,15.34,75.8,2,Warning
81.84,239.15,92.39,54.42,2.54,75.48,10.06,100.0,3,Critical
32.9,53.82,50.19,39.07,0.87,32.07,15.35,25.8,0,Safe
22.68,73.55,57.22,28.33,1.15,36.72,17.95,21.1,0,Safe
2.44,9.21,29.78,35.97,0.14,7.09,26.66,4.1,0,Safe
3.46,14.56,32.48,33.0,0.19,15.29,32.19,2.9,0,Safe
3.35,13.53,35.62,35.74,0.56,14.01,19.69,4.4,0,Safe
84.78,122.58,85.01,38.38,0.85,44.3,13.1,56.5,1,Watch
12.52,37.63,41.77,19.9,0.92,18.47,18.93,7.4,0,Safe
19.17,37.55,67.88,33.38,0.76,34.33,22.61,25.0,0,Safe
101.18,255.6,89.94,40.48,3.71,60.55,13.55,88.2,3,Critical
4.31,8.4,32.55,17.18,0.37,9.41,27.73,4.4,0,Safe
3.42,4.46,30.63,43.55,0.36,9.49,21.46,2.1,0,Safe
4.41,6.46,48.46,24.53,0.47,13.12,30.93,0.0,0,Safe
38.08,112.55,75.25,45.77,1.19,31.37,19.82,43.5,1,Watch
31.58,42.65,74.23,35.29,0.77,28.88,15.46,23.3,0,Safe
74.71,367.43,88.78,44.36,2.07,79.74,13.52,96.5,3,Critical
97.45,297.98,87.16,39.77,4.5,63.7,15.85,88.2,3,Critical
56.77,124.69,76.35,40.63,1.63,37.37,14.47,49.0,1,Watch
0.31,15.84,28.85,33.23,0.56,12.81,27.73,2.9,0,Safe
65.65,289.32,92.83,43.69,4.54,77.48,9.62,98.3,3,Critical
59.36,317.21,89.6,46.59,4.04,54.51,14.2,90.0,3,Critical
1.85,3.17,28.23,27.71,0.42,9.57,24.31,0.2,0,Safe
19.48,90.53,59.08,28.21,0.42,30.42,19.44,14.9,0,Safe
0.35,17.03,40.76,31.59,0.56,16.76,23.71,5.7,0,Safe
4.89,24.97,32.36,31.65,0.43,1.82,15.09,7.5,0,Safe
1.78,22.65,51.07,20.58,0.17,3.2,28.7,1.5,0,Safe
5.32,11.55,29.62,18.09,0.25,10.75,33.23,0.0,0,Safe
0.75,14.03,33.12,29.52,0.17,7.81,27.73,0.0,0,Safe
65.36,110.5,71.73,40.1,1.33,44.9,19.36,51.3,1,Watch
1.06,15.48,34.42,26.82,0.23,7.52,30.11,3.7,0,Safe
13.29,102.69,73.76,24.75,0.99,21.37,18.48,21.3,0,Safe
10.75,65.04,32.14,32.17,0.42,28.93,21.07,11.0,0,Safe
0.43,4.13,37.56,33.55,0.36,6.76,23.03,2.3,0,Safe
0.04,24.5,29.13,16.73,0.29,15.76,25.84,0.0,0,Safe
2.84,22.41,30.33,31.7,0.11,5.86,26.28,1.8,0,Safe
11.99,95.9,51.51,41.43,0.74,16.09,22.24,16.1,0,Safe
36.0,54.97,50.96,40.29,0.55,32.2,15.17,24.2,0,Safe
38.97,48.38,53.32,40.49,0.67,39.8,24.51,34.9,1,Watch
